TermIRI,Term_label,ParentTermIRI,Parent_label,Alternative term,Definition
http://purl.obolibrary.org/obo/VTO_0046054,Pomacanthus navarchus,http://purl.obolibrary.org/obo/VTO_0046046,Pomacanthus,,
http://purl.obolibrary.org/obo/VTO_0046053,Pomacanthus semicirculatus,http://purl.obolibrary.org/obo/VTO_0046046,Pomacanthus,,
http://purl.obolibrary.org/obo/VTO_0046052,Pomacanthus sexstriatus,http://purl.obolibrary.org/obo/VTO_0046046,Pomacanthus,,
http://purl.obolibrary.org/obo/VTO_0046051,Pomacanthus xanthometopon,http://purl.obolibrary.org/obo/VTO_0046046,Pomacanthus,,
http://purl.obolibrary.org/obo/VTO_0046085,Apolemichthys,http://purl.obolibrary.org/obo/VTO_0046020,Pomacanthidae,,
http://purl.obolibrary.org/obo/VTO_0046088,Apolemichthys trimaculatus,http://purl.obolibrary.org/obo/VTO_0046085,Apolemichthys,,
http://purl.obolibrary.org/obo/VTO_0046061,Centropyge,http://purl.obolibrary.org/obo/VTO_0046020,Pomacanthidae,,
http://purl.obolibrary.org/obo/VTO_0046029,Chaetodontoplus,http://purl.obolibrary.org/obo/VTO_0046020,Pomacanthidae,,
http://purl.obolibrary.org/obo/VTO_0046033,Chaetodontoplus caeruleopunctatus,http://purl.obolibrary.org/obo/VTO_0046029,Chaetodontoplus,,
http://purl.obolibrary.org/obo/VTO_0046086,Apolemichthys xanthurus,http://purl.obolibrary.org/obo/VTO_0046085,Apolemichthys,,
http://purl.obolibrary.org/obo/VTO_0046074,Centropyge bicolor,http://purl.obolibrary.org/obo/VTO_0046061,Centropyge,,
http://purl.obolibrary.org/obo/VTO_0046081,Centropyge eibli,http://purl.obolibrary.org/obo/VTO_0046061,Centropyge,,
http://purl.obolibrary.org/obo/VTO_0046067,Centropyge multispinis,http://purl.obolibrary.org/obo/VTO_0046061,Centropyge,,
http://purl.obolibrary.org/obo/VTO_0046068,Centropyge nox,http://purl.obolibrary.org/obo/VTO_0046061,Centropyge,,
http://purl.obolibrary.org/obo/VTO_0046070,Centropyge potteri,http://purl.obolibrary.org/obo/VTO_0046061,Centropyge,,
http://purl.obolibrary.org/obo/VTO_0046072,Centropyge tibicen,http://purl.obolibrary.org/obo/VTO_0046061,Centropyge,,
http://purl.obolibrary.org/obo/VTO_0046062,Centropyge vrolikii,http://purl.obolibrary.org/obo/VTO_0046061,Centropyge,,
http://purl.obolibrary.org/obo/VTO_0046030,Chaetodontoplus duboulayi,http://purl.obolibrary.org/obo/VTO_0046029,Chaetodontoplus,,
http://purl.obolibrary.org/obo/VTO_0046032,Chaetodontoplus melanosoma,http://purl.obolibrary.org/obo/VTO_0046029,Chaetodontoplus,,
http://purl.obolibrary.org/obo/VTO_0046034,Chaetodontoplus meredithi,http://purl.obolibrary.org/obo/VTO_0046029,Chaetodontoplus,,
http://purl.obolibrary.org/obo/VTO_0046036,Pygoplites,http://purl.obolibrary.org/obo/VTO_0046020,Pomacanthidae,,
http://purl.obolibrary.org/obo/VTO_0046037,Pygoplites diacanthus,http://purl.obolibrary.org/obo/VTO_0046036,Pygoplites,,
http://purl.obolibrary.org/obo/VTO_0059143,Hexacrobylidae,http://purl.obolibrary.org/obo/VTO_0059027,Stolidobranchia,,
http://purl.obolibrary.org/obo/VTO_0059144,Oligotrema,http://purl.obolibrary.org/obo/VTO_0059143,Hexacrobylidae,,
http://purl.obolibrary.org/obo/VTO_0059145,Oligotrema lyra,http://purl.obolibrary.org/obo/VTO_0059144,Oligotrema,,
http://purl.obolibrary.org/obo/VTO_0032516,Ardeola bacchus/speciosa,http://purl.obolibrary.org/obo/VTO_0032512,Ardeola,,
http://purl.obolibrary.org/obo/VTO_0016645,Blaesodactylus ambonihazo,http://purl.obolibrary.org/obo/VTO_0016641,Blaesodactylus,,
http://purl.obolibrary.org/obo/VTO_0020477,Trimeresurus borneensis,http://purl.obolibrary.org/obo/VTO_0020468,Trimeresurus,,
http://purl.obolibrary.org/obo/VTO_0020512,Cryptelytrops erythrurus,http://purl.obolibrary.org/obo/VTO_0020503,Cryptelytrops,,
http://purl.obolibrary.org/obo/VTO_0020502,Parias flavomaculatus,http://purl.obolibrary.org/obo/VTO_0020497,Parias,,
http://purl.obolibrary.org/obo/VTO_0020474,Trimeresurus gracilis,http://purl.obolibrary.org/obo/VTO_0020468,Trimeresurus,,
http://purl.obolibrary.org/obo/VTO_0020501,Parias hageni,http://purl.obolibrary.org/obo/VTO_0020497,Parias,,
http://purl.obolibrary.org/obo/VTO_0020508,Cryptelytrops kanburiensis,http://purl.obolibrary.org/obo/VTO_0020503,Cryptelytrops,,
http://purl.obolibrary.org/obo/VTO_0020473,Trimeresurus malabaricus,http://purl.obolibrary.org/obo/VTO_0020468,Trimeresurus,,
http://purl.obolibrary.org/obo/VTO_0020495,Popeia popeiorum,http://purl.obolibrary.org/obo/VTO_0020494,Popeia,,
http://purl.obolibrary.org/obo/VTO_0020471,Trimeresurus trigonocephalus,http://purl.obolibrary.org/obo/VTO_0020468,Trimeresurus,,
http://purl.obolibrary.org/obo/VTO_0021084,Anolis oculatus,http://purl.obolibrary.org/obo/VTO_0021010,Anolis,,
http://purl.obolibrary.org/obo/VTO_0028397,Nesospiza sp. hybrid AJvR-2011,http://purl.obolibrary.org/obo/VTO_0028392,Nesospiza,,
http://purl.obolibrary.org/obo/VTO_0044282,Chelmon,http://purl.obolibrary.org/obo/VTO_0044267,Chaetodontidae,,
http://purl.obolibrary.org/obo/VTO_0044283,Chelmon rostratus,http://purl.obolibrary.org/obo/VTO_0044282,Chelmon,,
